A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvestergarstonwatford,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,harvesterravenswoodipswich,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theancientbritonstalbans,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,themallardhemelhempstead,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,eastofengland,theorchardbedford,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastofengland,thegoldenfleecebrentwood,mainmenu#
